year,month,day,holiday,school_holiday,early_release,long_vacation
2017,1,2,Yes,Yes,,
2017,1,26,,Yes,,
2017,1,27,,Yes,Yes,
2017,1,28,Yes,Yes,,
2017,1,30,Yes,Yes,,
2017,1,31,Yes,Yes,,
2017,2,1,,Yes,,Yes
2017,2,2,,Yes,,Yes
2017,2,3,,Yes,,Yes
2017,4,3,,,,Yes
2017,4,4,Yes,Yes,,
2017,4,14,Yes,Yes,,
2017,4,15,Yes,Yes,,
2017,4,17,Yes,Yes,,
2017,4,18,,Yes,,
2017,4,19,,Yes,,
2017,4,20,,Yes,,
2017,4,21,,Yes,,
2017,5,1,Yes,Yes,,
2017,5,2,,,,Yes
2017,5,3,Yes,Yes,,
2017,5,29,,,,Yes
2017,5,30,Yes,Yes,,
2017,7,1,Yes,Yes,,
2017,7,17,,Yes,,
2017,7,18,,Yes,,
2017,7,19,,Yes,,
2017,7,20,,Yes,,
2017,7,21,,Yes,,
2017,7,24,,Yes,,
2017,7,25,,Yes,,
2017,7,26,,Yes,,
2017,7,27,,Yes,,
2017,7,28,,Yes,,
2017,7,31,,Yes,,
2017,8,1,,Yes,,
2017,8,2,,Yes,,
2017,8,3,,Yes,,
2017,8,4,,Yes,,
2017,8,7,,Yes,,
2017,8,8,,Yes,,
2017,8,9,,Yes,,
2017,8,10,,Yes,,
2017,8,11,,Yes,,
2017,8,14,,Yes,,
2017,8,15,,Yes,,
2017,8,16,,Yes,,
2017,8,17,,Yes,,
2017,8,18,,Yes,,
2017,8,21,,Yes,,
2017,8,22,,Yes,,
2017,8,23,,Yes,,
2017,8,24,,Yes,,
2017,8,25,,Yes,,
2017,8,28,,Yes,,
2017,8,29,,Yes,,
2017,8,30,,Yes,,
2017,8,31,,Yes,,
2017,10,2,Yes,Yes,,
2017,10,3,,,,Yes
2017,10,4,,,Yes,Yes
2017,10,5,Yes,Yes,,
2017,10,6,,,,Yes
2017,10,28,Yes,Yes,,
2017,12,22,,,Yes,
2017,12,25,Yes,Yes,,
2017,12,26,Yes,Yes,,
2017,12,27,,Yes,,
2017,12,28,,Yes,,
2017,12,29,,Yes,,
2018,1,1,Yes,Yes,,
2018,2,14,,,Yes,
2018,2,15,,Yes,Yes,
2018,2,16,Yes,Yes,,
2018,2,17,Yes,Yes,,
2018,2,19,Yes,Yes,,
2018,2,20,,Yes,Yes,
2018,2,21,,Yes,Yes,
2018,2,22,,Yes,Yes,
2018,2,23,,Yes,Yes,
2018,3,30,Yes,Yes,,
2018,3,31,Yes,Yes,,
2018,4,2,Yes,Yes,,
2018,4,3,,Yes,,Yes
2018,4,4,,Yes,,Yes
2018,4,5,Yes,Yes,,
2018,4,6,,Yes,,Yes
2018,4,30,,,,Yes
2018,5,1,Yes,Yes,,
2018,5,21,,,,Yes
2018,5,22,Yes,Yes,,
2018,6,18,Yes,Yes,,
2018,7,2,Yes,Yes,,
2018,7,16,,Yes,,
2018,7,17,,Yes,,
2018,7,18,,Yes,,
2018,7,19,,Yes,,
2018,7,20,,Yes,,
2018,7,23,,Yes,,
2018,7,24,,Yes,,
2018,7,25,,Yes,,
2018,7,26,,Yes,,
2018,7,27,,Yes,,
2018,7,30,,Yes,,
2018,7,31,,Yes,,
2018,8,1,,Yes,,
2018,8,2,,Yes,,
2018,8,3,,Yes,,
2018,8,6,,Yes,,
2018,8,7,,Yes,,
2018,8,8,,Yes,,
2018,8,9,,Yes,,
2018,8,10,,Yes,,
2018,8,13,,Yes,,
2018,8,14,,Yes,,
2018,8,15,,Yes,,
2018,8,16,,Yes,,
2018,8,17,,Yes,,
2018,8,20,,Yes,,
2018,8,21,,Yes,,
2018,8,22,,Yes,,
2018,8,23,,Yes,,
2018,8,24,,Yes,,
2018,8,27,,Yes,,
2018,8,28,,Yes,,
2018,8,29,,Yes,,
2018,8,30,,Yes,,
2018,8,31,,Yes,,
2018,9,24,,,Yes,Yes
2018,9,25,Yes,Yes,,
2018,10,1,Yes,Yes,,
2018,10,15,,,,Yes
2018,10,16,,,,Yes
2018,10,17,Yes,Yes,,
2018,10,18,,,,Yes
2018,10,19,,,,Yes
2018,12,24,,Yes,Yes,Yes
2018,12,25,Yes,Yes,,
2018,12,26,Yes,Yes,,
2018,12,27,,Yes,,Yes
2018,12,28,,Yes,,Yes
2018,12,31,,Yes,Yes,Yes
